station_id,borough,lat,lng
6197.02,Manhattan,40.74290902,-73.97706058
7713.01,Manhattan,40.805973,-73.964928
6289.06,Manhattan,40.7462009,-73.98855723
6569.07,Manhattan,40.75462324029105,-73.99516761302948
5148.03,Brooklyn,40.7103685423523,-73.94705951213837
5575.13,Manhattan,40.72506551015475,-73.97515833377838
7646.04,Manhattan,40.802692,-73.96295
5481.04,Brooklyn,40.72179134,-73.9504154
4432.1,Brooklyn,40.6882,-73.90798
5323.06,Brooklyn,40.71534162042448,-73.93865078687668
6602.05,Manhattan,40.7575699,-73.99098507
5755.01,Manhattan,40.72903917,-73.99404649
5659.05,Manhattan,40.72740794,-73.98142006
3125.09,Brooklyn,40.64471895763575,-73.97451460361481
5922.07,Manhattan,40.73535398,-74.00483091
5971.08,Manhattan,40.73587678,-73.98205027
6313.1,Manhattan,40.7475739589548,-73.9788007736206
2951.05,Brooklyn,40.639673,-74.008957
7436.11,Manhattan,40.7892105,-73.94370784
5351.03,Manhattan,40.71602118,-73.99974372
6779.05,Manhattan,40.76344058,-73.98268129
6602.03,Manhattan,40.75640548,-73.9900262
7113.05,Manhattan,40.77431811327392,-73.94548773765564
5905.12,Manhattan,40.73454567,-73.99074142
5391.06,Manhattan,40.71939226,-74.00247214
6364.07,Manhattan,40.74901271,-73.98848395
6779.04,Manhattan,40.76228826,-73.98336183
6239.08,Manhattan,40.74394314,-73.97966069
7502.01,Manhattan,40.7921,-73.9739
5484.09,Manhattan,40.722055,-73.989111
5880.02,Manhattan,40.73401143,-74.00293877
6441.01,Manhattan,40.75097711,-73.98765428
7180.02,Manhattan,40.77565541,-73.95068615
6319.07,Queens,40.74737075646803,-73.94777297973631
5746.14,Manhattan,40.72953837,-73.98426726
7971.07,Manhattan,40.82281,-73.937413
5267.09,Brooklyn,40.71469,-73.95739
6584.12,Manhattan,40.75510267,-73.97498696
7340.07,Manhattan,40.783786,-73.981687
5626.06,Manhattan,40.72479007746337,-73.98430064320564
7049.04,Manhattan,40.7724607,-73.9468208
7407.13,Manhattan,40.7869946,-73.94164802
6912.01,Manhattan,40.7667405590595,-73.9790689945221
6055.08,Manhattan,40.73827428,-73.98751968
7207.08,Manhattan,40.77748046,-73.98288594
7602.05,Manhattan,40.7987859,-73.9523
2832.03,Brooklyn,40.637033,-74.022141
6398.08,Manhattan,40.74848023448579,-73.98255586624146
4962.08,Manhattan,40.70365182,-74.01167797
5669.1,Manhattan,40.7284186,-73.98713956
4993.02,Manhattan,40.7047177,-74.00926027
7281.09,Manhattan,40.7801839724239,-73.97728532552719
7286.01,Manhattan,40.78115276427915,-73.94963040947914
5403.05,Brooklyn,40.71929301,-73.94500379
6107.08,Manhattan,40.74056423633952,-73.99852573871613
5523.02,Manhattan,40.72229346,-73.99147535
5291.05,Brooklyn,40.715143,-73.944507
6839.04,Manhattan,40.76302594280519,-73.97209525108337
3498.09,Brooklyn,40.657265,-73.974165
6474.11,Manhattan,40.752062307,-73.9816324043
5036.06,Brooklyn,40.70583339,-73.94644578
7443.17,Manhattan,40.78813,-73.95206
5065.04,Manhattan,40.70862144,-74.00722156
6948.1,Manhattan,40.76695317,-73.98169333
4979.07,Brooklyn,40.704425,-73.92836
6801.01,Manhattan,40.76350532,-73.97109243
6197.08,Manhattan,40.74322681432173,-73.97449783980846
7365.13,Manhattan,40.7849032,-73.950503
5329.08,Manhattan,40.71503,-74.01246
6471.02,Queens,40.75325964,-73.94335788
6352.01,Queens,40.74718234,-73.9432635
6822.09,Manhattan,40.76500525,-73.95818491
4724.03,Brooklyn,40.69610226,-73.96751037
5342.1,Manhattan,40.71605866,-73.99190759
6373.07,Manhattan,40.74965268472847,-73.9952078461647
4732.04,Brooklyn,40.69580705,-73.97355569
7365.08,Manhattan,40.7859201,-73.94860294
4446.01,Brooklyn,40.6867443,-73.99063168
6617.02,Manhattan,40.75763227739443,-73.96930575370789
3955.05,Brooklyn,40.6705135,-73.98876585
5270.05,Manhattan,40.71406667,-73.99293911
6492.04,Manhattan,40.75377336836039,-73.99937599897385
7610.13,Manhattan,40.79904139288298,-73.96649479866028
3779.02,Brooklyn,40.666168,-73.995549
7260.09,Manhattan,40.77966809007312,-73.98093044757842
7790.04,Manhattan,40.81296,-73.941878
7809.13,Manhattan,40.81449,-73.936153
6953.08,Manhattan,40.7689738,-73.95482273
7756.1,Manhattan,40.8114323,-73.9518776
3862.07,Brooklyn,40.66929,-73.93679
7456.03,Manhattan,40.7892529,-73.93956237
6593.15,Manhattan,40.756951,-73.982631
6140.05,Manhattan,40.74173969,-73.99415556
6740.1,Manhattan,40.7606597,-73.98042047
6876.04,Manhattan,40.76590936,-73.97634151
6425.04,Manhattan,40.751396,-74.005226
7511.19,Manhattan,40.7922553,-73.95249933
7482.15,Manhattan,40.790586067792006,-73.94195795059204
7414.17,Manhattan,40.7877214,-73.94728331
7640.04,Manhattan,40.8014866,-73.9442507
5929.01,Manhattan,40.736502,-73.97809472
5872.1,Manhattan,40.73275887045087,-73.99581670761108
7682.01,Manhattan,40.8045555,-73.9396861
7617.07,Manhattan,40.799484,-73.955613
6098.12,Manhattan,40.73866091428551,-73.98987293243407
7658.13,Manhattan,40.8038654,-73.9559308
7688.12,Manhattan,40.805159,-73.954692
7716.19,Manhattan,40.806414,-73.936085
6432.11,Manhattan,40.750756,-73.978326
8175.06,Bronx,40.837576,-73.910489
7738.04,Manhattan,40.80949534777948,-73.94776493310928
7450.05,Manhattan,40.7949879,-73.9333349
6904.06,Manhattan,40.766368,-73.971518
4010.15,Brooklyn,40.6729679,-73.97087984
6920.03,Manhattan,40.76584941,-73.98690506
8085.09,Manhattan,40.832314,-73.94102
6306.06,Manhattan,40.74691959,-74.00451887
3847.04,Brooklyn,40.6679411,-73.9588
6115.06,Manhattan,40.74005708567285,-74.0052741765976
5382.06,Manhattan,40.718822,-73.99596
7265.1,Manhattan,40.7806284,-73.9521667
6079.03,Manhattan,40.74144387,-73.97536082
4051.01,Brooklyn,40.675146838709786,-73.97523209452629
5114.06,Manhattan,40.70834698,-74.01713445
3865.05,Brooklyn,40.668132,-73.97363831
6700.14,Manhattan,40.75973805251143,-73.97811613976955
4620.02,Brooklyn,40.69308257,-73.97178913
7987.14,Bronx,40.82388366441761,-73.8974027708582
6617.09,Manhattan,40.75828065,-73.97069431
4255.05,Brooklyn,40.68216564,-73.95399026
3420.01,Brooklyn,40.654144,-74.00422
5938.11,Manhattan,40.735367055605394,-73.98797392845154
3280.04,Brooklyn,40.648005,-73.979342
5820.08,Manhattan,40.73153937464073,-73.9853024482727
7144.02,Queens,40.776168,-73.910485
6089.07,Manhattan,40.74025878,-73.98409214
7879.01,Bronx,40.816827,-73.917338
6227.02,Queens,40.74469738,-73.93540375
6098.1,Manhattan,40.73988840858996,-73.98958593606949
8619.02,Bronx,40.86659,-73.89794
6474.02,Manhattan,40.752269,-73.982079
4963.13,Queens,40.70461,-73.91054
6224.03,Manhattan,40.74475148,-73.99915362
6280.12,Manhattan,40.7457121,-73.98194829
8478.11,Bronx,40.855653,-73.905528
3905.15,Brooklyn,40.6703837,-73.97839676
6306.01,Manhattan,40.745686,-74.005141
4419.03,Brooklyn,40.68650065,-73.96563307
6248.06,Manhattan,40.7451677,-73.98683077
6004.07,Manhattan,40.7381765,-73.97738662
6432.1,Manhattan,40.752049,-73.979635
5964.01,Manhattan,40.7361967,-74.00859207
6626.11,Manhattan,40.75776935448309,-73.97929430007935
7354.01,Manhattan,40.78476,-73.969862
4729.01,Brooklyn,40.69681963,-73.93756926
5989.02,Manhattan,40.738046142482766,-73.99642959237099
5653.12,Manhattan,40.72583996792375,-74.0076532959938
5515.02,Manhattan,40.72217444,-73.98368779
4651.02,Brooklyn,40.693261,-73.968896
5348.02,Brooklyn,40.716887,-73.963198
5125.03,Brooklyn,40.710451,-73.960876
5613.04,Brooklyn,40.72577,-73.94173
4074.14,Brooklyn,40.676513,-73.959431
6536.02,Queens,40.754176,-73.900318
4217.02,Brooklyn,40.6802133,-73.98432695
4395.07,Brooklyn,40.68506807308177,-73.97790759801863
6122.09,Manhattan,40.74172351097472,-73.97809267044067
7891.06,Bronx,40.817802,-73.905203
5262.09,Manhattan,40.713126,-73.984844
7074.01,Queens,40.772717,-73.906127
5506.14,Manhattan,40.72228087,-73.97668709
5584.05,Manhattan,40.7251285241158,-73.98131668567657
4968.03,Brooklyn,40.70296934155272,-73.98469090461731
5779.09,Manhattan,40.72966729392978,-73.98067966103554
7163.07,Queens,40.775415,-73.900063
6569.08,Manhattan,40.754691750226016,-73.99740189313889
6459.04,Manhattan,40.75066386,-74.00176802
6254.06,Queens,40.745038,-73.957539
4634.02,Brooklyn,40.69331716,-73.95381995
5250.05,Brooklyn,40.71247661,-73.94100005
5971.09,Manhattan,40.73716919369882,-73.98122549057007
5847.01,Manhattan,40.73291553,-74.00711384
4611.03,Brooklyn,40.69196035,-73.96536851
5947.04,Manhattan,40.735445,-73.99431
5696.03,Manhattan,40.7277140777778,-74.01129573583603
6551.02,Manhattan,40.75500254,-73.98014437
3007.05,Brooklyn,40.642031,-73.981073
5033.01,Manhattan,40.705945132708806,-74.01321887969969
5259.06,Brooklyn,40.71335226222875,-73.9491033554077
5955.12,Manhattan,40.735918,-74.000939
6398.06,Manhattan,40.75038009,-73.98338988
4812.04,Brooklyn,40.699569,-73.979827
6459.07,Manhattan,40.752694,-74.002353
4996.08,Brooklyn,40.70510918,-73.94407279
7243.04,Manhattan,40.77862688,-73.95772073
5854.09,Manhattan,40.73381219196632,-73.98054420948029
7141.07,Manhattan,40.77579376683666,-73.9762057363987
4077.07,Brooklyn,40.6763947,-73.99869893
7084.12,Manhattan,40.7728384,-73.94989233
3038.08,Brooklyn,40.642501,-74.006055
6756.05,Manhattan,40.762009,-73.996975
6896.16,Manhattan,40.76712840349542,-73.96224617958069
4801.04,Brooklyn,40.697481,-73.935877
6578.01,Manhattan,40.75594159,-74.0021163
3376.02,Brooklyn,40.651847,-73.965248
5403.04,Brooklyn,40.7169811,-73.94485918
6960.1,Manhattan,40.76873687,-73.96119945
8624.01,Bronx,40.8660052,-73.904254892
4853.06,Brooklyn,40.70133448066992,-73.98471236228943
6089.11,Manhattan,40.74069317733043,-73.98160636425018
7288.04,Manhattan,40.78057799010334,-73.98562431335449
4016.03,Brooklyn,40.67308,-73.94191
8054.04,Manhattan,40.829114,-73.950426
7154.07,Manhattan,40.77573034,-73.9567526
3885.06,Brooklyn,40.67015,-73.92538
4587.02,Brooklyn,40.69178,-73.97877
5065.1,Manhattan,40.70706456,-74.00731853
7463.09,Manhattan,40.7903051,-73.94755757
5359.1,Manhattan,40.71625008,-74.0091059
5755.09,Manhattan,40.73049393,-73.9957214
5279.03,Manhattan,40.71494807,-74.00234482
5308.04,Brooklyn,40.71534825,-73.96024116
3538.09,Brooklyn,40.65629,-73.977335
8033.09,Manhattan,40.827075,-73.945909
8057.02,Bronx,40.829608,-73.921461
7860.08,Manhattan,40.818215,-73.950988
6532.06,Manhattan,40.75455731,-73.96592976
8615.01,Bronx,40.86648,-73.89042
4452.03,Brooklyn,40.68676793,-73.95928168
6925.09,Manhattan,40.7687620293096,-73.95840793848038
7092.06,Manhattan,40.77314236,-73.95856158
6131.12,Manhattan,40.742684734875695,-73.98671329021454
5216.06,Manhattan,40.71221958009051,-74.01047229766846
7942.21,Manhattan,40.823168,-73.955857
7837.3,Manhattan,40.816234,-73.948222
7293.1,Manhattan,40.781410700190015,-73.95595908164978
6836.07,Queens,40.7638753,-73.9364848
6873.01,Queens,40.76535380385866,-73.93986314535141
7942.07,Manhattan,40.82182,-73.95353
6890.06,Manhattan,40.76473420006519,-73.99194359779358
4707.03,Brooklyn,40.69539817,-73.94954908
5886.13,Manhattan,40.733208626522426,-73.9756813647
7028.04,Manhattan,40.7699426,-73.96060712
5326.06,Manhattan,40.71782143,-73.97628939
7814.01,Manhattan,40.813539,-73.94521
4576.11,Brooklyn,40.6919925157634,-73.9325501024723
7741.01,Manhattan,40.81,-73.9551508
6266.06,Manhattan,40.7454973,-74.00197139
7393.09,Manhattan,40.787801,-73.953559
5712.03,Manhattan,40.72951496224949,-73.99075269699097
6286.02,Queens,40.74731,-73.95451
6762.04,Manhattan,40.76312584,-73.96526895
4033.06,Brooklyn,40.6741806,-73.9564947
6566.01,Manhattan,40.75370225419114,-73.95865201950072
8126.07,Bronx,40.834263,-73.917641
4683.02,Brooklyn,40.69363137,-73.96223558
8269.01,Bronx,40.844075,-73.917256
5561.04,Manhattan,40.72317958,-73.99480012
6929.02,Queens,40.766824,-73.930486
8171.06,Bronx,40.837119,-73.902185
7800.03,Manhattan,40.813358,-73.956461
4637.06,Brooklyn,40.69241829257847,-73.98949474096298
7655.22,Manhattan,40.8025566,-73.9490782
5489.03,Brooklyn,40.72036775298455,-73.96165072917938
4519.02,Brooklyn,40.6883337,-73.950916
4336.01,Brooklyn,40.6845683,-73.95881081
5175.08,Manhattan,40.711066,-74.009447
8483.02,Bronx,40.855156,-73.91278
6884.03,Manhattan,40.765959181657976,-73.98313522338867
5235.05,Brooklyn,40.71260486,-73.96264403
4993.15,Manhattan,40.70469667894968,-74.00803416967392
7344.05,Manhattan,40.7835016,-73.955327
5445.07,Manhattan,40.720747,-73.986274
5938.01,Manhattan,40.73624527,-73.98473765
7798.02,Bronx,40.812299,-73.92037
5561.06,Manhattan,40.72456089,-73.99565293
5545.04,Manhattan,40.72299208,-73.97995466
5230.02,Manhattan,40.71332151208186,-73.99009689688683
3315.05,Brooklyn,40.651173,-74.011405
6064.08,Manhattan,40.73971301,-73.99456405
8149.09,Bronx,40.834457,-73.928381
5335.07,Manhattan,40.71511871996496,-73.98417055606842
4354.05,Brooklyn,40.68539567,-73.97431458
5106.04,Queens,40.709697,-73.907856
3129.08,Brooklyn,40.643371,-74.011884
